4.294	202864	2448	ok	alt_xcvr/alt_xcvr_core/nf/tcl/nf_hssi_8g_rx_pcs_rbc.tcl
4.293	227272	2455	ok	alt_xcvr/alt_xcvr_core/nf/tcl/nf_hssi_pipe_gen1_2_rbc.tcl
4.282	253632	1127	ok	vip/ip_library/full_ip/alt_vip_cl_csc/alt_vip_cl_csc_hw.tcl
4.184	171984	2290	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_ddr2_phy_core/constraints/sv/memphy_report_timing_core.tcl
4.136	1942428	1078	ok	altera_pcie/altera_pcie_av_hip_avmm/pcie_av_avmm_port.tcl
4.086	171004	2295	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_lpddr2_phy_core/constraints/m10/memphy_report_timing_core.tcl
4.034	246196	1200	ok	altera_hps/altera_hps_arria_10/hps/clock_manager.tcl
3.990	171984	2159	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_ddr3_phy_core/constraints/acv/memphy_report_timing_core.tcl
3.986	171984	2260	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_lpddr2_phy_core/constraints/sv/memphy_report_timing_core.tcl
3.963	717340	1460	ok	rs_ii/src/lib/altera_rs_utilities.tcl
3.936	171984	2147	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_lpddr2_phy_core/constraints/acv/memphy_report_timing_core.tcl
3.935	171004	2350	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_ddr3_phy_core/constraints/sv/memphy_report_timing_core.tcl
3.930	171984	2300	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_ddr2_phy_core/constraints/m10/memphy_report_timing_core.tcl
3.881	202864	3394	ok	alt_mem_if/alt_mem_if_tcl_packages/gui/common_ddr_mem_model.tcl
3.880	1942428	1229	ok	altera_pcie/altera_pcie_sriov/pcie_sriov_ports.tcl
3.854	1942428	1154	ok	altera_pcie/altera_pcie_av_hip_ast/pcie_av_port.tcl
3.832	171984	2093	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_rldram3_phy_core/constraints/sv/memphy_report_timing_core.tcl
3.830	171004	2304	ok	alt_mem_if/alt_mem_if_phys/alt_mem_if_ddr3_phy_core/constraints/m10/memphy_report_timing_core.tcl
3.776	2010844	876	ok	altera_pcie/altera_pcie_av_hip_ast/pcie_av_parameters_common.tcl
3.762	428088	1821	ok	alt_xcvr/alt_xcvr_core/nf/tcl/nf_hssi_tx_pcs_pma_interface_rbc.tcl
3.753	717340	2177	ok	hps/altera_hps/clock_manager.tcl
3.735	227116	5354	ok	alt_mem_if/alt_mem_if_tcl_packages/gui/common_ddrx_phy.tcl
