command,subcommand,total,value_position,statement_position,repo_breadth,dominant_arity,dominant_arity_count,all_args_literal,some_args_substituted,in_registry
option,color,2,0,2,1,2,2,2,0,true
pack,.base.dateTime,2,0,2,1,5,2,2,0,true
pack,.dateTime,2,0,2,1,5,2,2,0,true
pack,.e,2,0,2,1,7,1,2,0,true
pack,.exit,2,0,2,1,7,2,2,0,true
pack,.l.t,2,0,2,2,5,2,2,0,true
pack,.loc,2,0,2,1,7,2,2,0,true
pack,.pack.a,2,0,2,1,3,1,2,0,true
pack,.pack.b,2,0,2,1,3,1,2,0,true
pack,.picture,2,0,2,1,5,2,2,0,true
pack,.pos,2,0,2,1,3,2,2,0,true
pack,.shfl,2,0,2,1,7,2,2,0,true
pack,.spacer,2,0,2,1,8,2,2,0,true
pack,.sw,2,0,2,1,7,2,2,0,true
pack,.t.anchorLabel,2,0,2,1,6,1,2,0,true
pack,.t.b1,2,0,2,1,15,2,2,0,true
pack,.t.c1,2,0,2,1,15,2,2,0,true
pack,.t.c2,2,0,2,2,1,1,2,0,true
pack,.t.control,2,0,2,1,7,2,2,0,true
pack,.t.control.left,2,0,2,1,8,2,2,0,true
pack,.t.f,2,0,2,1,5,1,2,0,true
pack,.t.f1,2,0,2,1,7,2,2,0,true
pack,.t.f2,2,0,2,1,7,2,2,0,true
pack,.t.f3,2,0,2,1,7,2,2,0,true
pack,.t.f4,2,0,2,1,7,2,2,0,true
pack,.t.l1,2,0,2,1,15,2,2,0,true
pack,.t.r1,2,0,2,1,15,2,2,0,true
pack,.t.top,2,0,2,1,3,1,2,0,true
pack,.txt,2,0,2,1,5,2,2,0,true
pack,.v.c,2,0,2,1,7,2,2,0,true
package,names,2,2,0,2,1,2,2,0,true
pkg_mkIndex,,2,0,2,1,1,2,0,2,true
place,.t.s,2,0,2,1,3,2,2,0,true
sha1::hmac,,2,1,1,1,4,2,0,2,true
sha2::sha256,,2,2,0,1,2,2,0,2,true
string,bytelength,2,2,0,1,2,2,0,2,true
string,reverse,2,2,0,2,2,2,0,2,true
struct::list,map,2,2,0,1,3,2,0,2,true
struct::set,include,2,0,2,1,3,2,0,2,true
struct::stack,,2,2,0,1,1,2,2,0,true
tcl::chan::memchan,,2,2,0,1,0,2,2,0,true
tcl::prefix,longest,2,2,0,1,3,2,0,2,true
tcltest::customMatch,,2,0,2,1,2,2,2,0,true
tcltest::temporaryDirectory,,2,2,0,1,0,2,2,0,true
term::ansi::send::clear,,2,0,2,2,0,2,2,0,true
term::ansi::send::eeol,,2,0,2,2,0,2,2,0,true
term::ansi::send::import,,2,0,2,1,1,2,2,0,true
text,.l.t,2,0,2,2,9,2,2,0,true
text,.txt,2,0,2,1,13,2,0,2,true
textutil::wcswidth,,2,2,0,1,1,2,0,2,true
tk_optionMenu,,2,1,1,1,5,1,0,2,true
winfo,<dynamic>,2,2,0,1,2,2,0,2,true
winfo,depth,2,2,0,1,2,2,2,0,true
winfo,geom,2,2,0,1,2,2,1,1,true
winfo,isdark,2,2,0,1,2,2,2,0,true
winfo,vrootx,2,2,0,2,2,2,0,2,true
wm,manage,2,0,2,2,2,2,0,2,true
zipfile::decode::archive,,2,2,0,1,0,2,2,0,true
zipfile::decode::close,,2,0,2,1,0,2,2,0,true
zipfile::decode::open,,2,0,2,1,1,2,0,2,true
zlib,compress,2,2,0,2,2,2,0,2,true
zlib,inflate,2,2,0,1,2,2,0,2,true
zlib,push,2,0,2,1,3,2,0,2,true
::after,0,1,0,1,1,2,1,0,1,true
::after,120000,1,0,1,1,2,1,1,0,true
::asn::asnGetUTF8String,,1,0,1,1,2,1,1,0,true
::asn::asnOctetString,,1,1,0,1,1,1,0,1,true
::asn::asnPrintableString,,1,1,0,1,1,1,0,1,true
::asn::asnSet,,1,1,0,1,1,1,0,1,true
::asn::asnUTF8String,,1,1,0,1,1,1,0,1,true
::chan,puts,1,0,1,1,2,1,0,1,true
::comm::comm,abort,1,0,1,1,1,1,1,0,true
::comm::comm,config,1,0,1,1,3,1,1,0,true
::cron::cancel,,1,0,1,1,1,1,1,0,true
::cron::clock_set,,1,0,1,1,1,1,0,1,true
::cron::in,,1,0,1,1,2,1,1,0,true
::dict,for,1,0,1,1,4,1,0,1,true
::dict,getnull,1,1,0,1,3,1,0,1,true
::dns::address,,1,1,0,1,1,1,0,1,true
::dns::resolve,,1,1,0,1,3,1,0,1,true
::dns::wait,,1,0,1,1,1,1,0,1,true
::fconfigure,,1,0,1,1,3,1,0,1,true
::fileutil::foreachLine,,1,0,1,1,3,1,0,1,true
::fileutil::tempfile,,1,1,0,1,1,1,1,0,true
::for,,1,0,1,1,4,1,1,0,true
::grab,<dynamic>,1,0,1,1,1,1,0,1,true
::grab,current,1,1,0,1,1,1,1,0,true
::grammar::fa::op::constructor,,1,0,1,1,1,1,1,0,true
::http::config,,1,0,1,1,2,1,0,1,true
::http::formatQuery,,1,1,0,1,1,1,0,1,true
::http::register,,1,0,1,1,3,1,1,0,true
::http::status,,1,1,0,1,1,1,0,1,true
::info,cmdcount,1,1,0,1,1,1,1,0,true
::info,commands,1,1,0,1,2,1,0,1,true
::interp,eval,1,0,1,1,3,1,0,1,true
::ip::ipToLayer2Multicast,,1,0,1,1,1,1,1,0,true
::ip::reduceToAggregates,,1,0,1,1,1,1,1,0,true
::lassign,,1,1,0,1,3,1,0,1,true
::log::lvChannelForall,,1,0,1,1,1,1,1,0,true
::log::lvCmd,,1,0,1,1,2,1,1,0,true
::log::lvCmdForall,,1,0,1,1,1,1,1,0,true
::lsearch,,1,1,0,1,3,1,0,1,true
::math::PCA::createPCA,,1,1,0,1,1,1,0,1,true
::math::bignum::clearbit,,1,0,1,1,2,1,0,1,true
::math::bignum::rshift,,1,1,0,1,2,1,0,1,true
::math::choose,,1,1,0,1,2,1,0,1,true
::math::fourier::lowpass,,1,1,0,1,2,1,0,1,true
::math::geometry::calculateDistanceToPolyline,,1,1,0,1,2,1,0,1,true
::math::geometry::findLineSegmentIntersection,,1,1,0,1,2,1,0,1,true
::math::geometry::intersectionLineWithCircle,,1,1,0,1,2,1,0,1,true
::math::geometry::lineIntersectsCircle,,1,1,0,1,2,1,0,1,true
::math::geometry::lineSegmentIntersectsCircle,,1,1,0,1,2,1,0,1,true
::math::geometry::lineSegmentsIntersect,,1,1,0,1,2,1,0,1,true
::math::linearalgebra::choleski,,1,1,0,1,1,1,0,1,true
::math::linearalgebra::determineSVD,,1,1,0,1,1,1,0,1,true
::math::linearalgebra::mkMoler,,1,1,0,1,1,1,1,0,true
::math::linearalgebra::mkRandom,,1,1,0,1,1,1,1,0,true
::math::linearalgebra::mkVector,,1,1,0,1,1,1,1,0,true
::math::linearalgebra::normMatrix,,1,1,0,1,1,1,0,1,true
::math::linearalgebra::orthonormalizeRows,,1,1,0,1,1,1,0,1,true
::math::linearalgebra::solvePGauss,,1,0,1,1,2,1,0,1,true
::math::linearalgebra::transpose,,1,1,0,1,1,1,0,1,true
::math::ln_Gamma,,1,1,0,1,1,1,0,1,true
::math::polynomials::coeffPolyn,,1,1,0,1,2,1,0,1,true
::math::polynomials::derivPolyn,,1,1,0,1,1,1,0,1,true
::math::polynomials::multPolyn,,1,1,0,1,2,1,0,1,true
::math::polynomials::polynCmd,,1,1,0,1,1,1,1,0,true
::math::polynomials::primitivePolyn,,1,1,0,1,1,1,0,1,true
::math::polynomials::subPolyn,,1,1,0,1,2,1,0,1,true
::math::rationalfunctions::coeffsDenominator,,1,1,0,1,1,1,0,1,true
::math::rationalfunctions::multRatio,,1,1,0,1,2,1,0,1,true
::math::rationalfunctions::ratioCmd,,1,1,0,1,2,1,1,0,true
::math::rationalfunctions::subRatio,,1,1,0,1,2,1,0,1,true
::math::roman::sort,,1,1,0,1,1,1,0,1,true
::math::special::I_n,,1,1,0,1,2,1,0,1,true
::math::special::J0,,1,1,0,1,1,1,0,1,true
::math::special::J1,,1,1,0,1,1,1,0,1,true
::math::special::chebyshev,,1,1,0,1,1,1,0,1,true
::math::special::elliptic_E,,1,1,0,1,1,1,0,1,true
::math::special::elliptic_K,,1,1,0,1,1,1,0,1,true
::math::special::hermite,,1,1,0,1,1,1,0,1,true
::math::special::legendre,,1,1,0,1,1,1,0,1,true
::math::statistics::control-Rchart,,1,1,0,1,1,1,0,1,true
::math::statistics::control-xbar,,1,1,0,1,1,1,0,1,true
::math::statistics::max,,1,1,0,1,1,1,0,1,true
::math::statistics::min,,1,1,0,1,1,1,0,1,true
::math::statistics::pvar,,1,1,0,1,1,1,0,1,true
::math::statistics::var,,1,1,0,1,1,1,0,1,true
::math::trig::cosd,,1,1,0,1,1,1,0,1,true
::math::trig::radian_reduced,,1,1,0,1,1,1,0,1,true
::math::trig::sind,,1,1,0,1,1,1,0,1,true
::math::trig::tand,,1,1,0,1,1,1,0,1,true
::mime::buildmessage,,1,0,1,1,1,1,0,1,true
::mime::copymessage,,1,0,1,1,2,1,0,1,true
::mime::getheader,,1,1,0,1,2,1,0,1,true
::namespace,children,1,1,0,1,2,1,0,1,true
::nettool::find_port,,1,1,0,1,1,1,0,1,true
::nmea::log,,1,0,1,1,1,1,1,0,true
::page::util::norm::lemon,,1,0,1,1,1,1,1,0,true
::page::util::norm::peg,,1,0,1,1,1,1,1,0,true
::picoirc::post,,1,0,1,1,3,1,0,1,true
::pki::encrypt,,1,1,0,1,6,1,0,1,true
::pki::pkcs::parse_csr,,1,1,0,1,1,1,0,1,true
::pki::pkcs::parse_key,,1,1,0,1,1,1,0,1,true
::pop3::config,,1,1,0,1,1,1,0,1,true
::pop3::status,,1,1,0,1,1,1,0,1,true
::report::report,,1,0,1,1,6,1,1,0,true
::scan,,1,1,0,1,2,1,0,1,true
::sha1::hmac,,1,1,0,1,2,1,0,1,true
::simulation::montecarlo::singleExperiment,,1,0,1,1,14,1,1,0,true
::simulation::random::prng_Bernoulli,,1,1,0,1,1,1,1,0,true
::simulation::random::prng_Discrete,,1,1,0,1,1,1,1,0,true
::simulation::random::prng_Poisson,,1,1,0,1,1,1,0,1,true
::simulation::random::prng_Rectangle,,1,1,0,1,2,1,1,0,true
::string,map,1,1,0,1,3,1,0,1,true
::struct::list,lcsInvert,1,1,0,1,4,1,0,1,true
::struct::list,lcsInvert2,1,1,0,1,5,1,0,1,true
::struct::queue,,1,1,0,1,1,1,1,0,true
::struct::set,symdiff,1,1,0,1,3,1,0,1,true
::tcl::OptProc,,1,0,1,1,3,1,1,0,true
::tcl::OptProcArgGiven,,1,1,0,1,1,1,1,0,true
::tcl::mathfunc::min,,1,1,0,1,1,1,0,1,true
::tcl::mathop::+,,1,0,1,1,1,1,0,1,true
::tcltest::makeFile,,1,1,0,1,2,1,1,0,true
::tcltest::temporaryDirectory,,1,1,0,1,0,1,1,0,true
::term::ansi::code::attr::names,,1,1,0,1,0,1,1,0,true
::term::ansi::code::ctrl::names,,1,1,0,1,0,1,1,0,true
::textutil::adjust::adjust,,1,1,0,1,3,1,0,1,true
::textutil::adjust::undent,,1,1,0,1,1,1,0,1,true
::textutil::string::longestCommonPrefixList,,1,1,0,1,1,1,0,1,true
::textutil::tabify::untabify2,,1,1,0,1,2,1,0,1,true
::tie::untie,,1,0,1,1,1,1,1,0,true
::time,,1,1,0,1,2,1,1,0,true
::time::error,,1,1,0,1,1,1,0,1,true
::time::unixtime,,1,1,0,1,1,1,0,1,true
::try,,1,0,1,1,1,1,0,1,true
::ttk::label,,1,0,1,1,7,1,0,1,true
::ttk::style,map,1,0,1,1,4,1,0,1,true
::ttk::treeview,.tv,1,0,1,1,15,1,0,1,true
::unicode::fromstring,,1,1,0,1,1,1,0,1,true
::unicode::normalize,,1,1,0,1,2,1,0,1,true
::unicode::tostring,,1,0,1,1,1,1,0,1,true
::uri::register,,1,0,1,1,2,1,1,0,true
::uuid::uuid,generate,1,1,0,1,1,1,1,0,true
::websocket::live,,1,0,1,1,3,1,0,1,true
::websocket::send,,1,0,1,1,3,1,0,1,true
::websocket::server,,1,0,1,1,1,1,0,1,true
::websocket::upgrade,,1,0,1,1,1,1,0,1,true
::while,,1,0,1,1,2,1,1,0,true
::zlib,crc32,1,1,0,1,2,1,0,1,true
::zlib,deflate,1,1,0,1,2,1,0,1,true
::zlib,stream,1,1,0,1,2,1,1,0,true
SASL::configure,,1,0,1,1,3,1,0,1,true
after,120000,1,1,0,1,2,1,0,1,true
after,2,1,1,0,1,2,1,0,1,true
after,25000,1,1,0,1,2,1,0,1,true
after,3500,1,0,1,1,2,1,1,0,true
after,60,1,0,1,1,1,1,1,0,true
after,9999,1,0,1,1,2,1,0,1,true
array,default,1,0,1,1,4,1,0,1,true
array,donesearch,1,0,1,1,3,1,0,1,true
array,nextelement,1,1,0,1,3,1,0,1,true
array,startsearch,1,1,0,1,2,1,1,0,true
array,statistics,1,1,0,1,2,1,1,0,true
autoproxy::init,,1,0,1,1,0,1,1,0,true
base64::decode,,1,1,0,1,1,1,0,1,true
bee::decodeCancel,,1,0,1,1,1,1,0,1,true
bibtex::addStrings,,1,0,1,1,2,1,0,1,true
bibtex::parse,,1,0,1,1,5,1,0,1,true
canvas,.b.c,1,0,1,1,3,1,1,0,true
canvas,.c5,1,1,0,1,1,1,1,0,true
canvas,.c6,1,1,0,1,1,1,1,0,true
canvas,.c7,1,1,0,1,1,1,1,0,true
canvas,.c8,1,1,0,1,1,1,1,0,true
canvas,.cnv,1,0,1,1,5,1,1,0,true
canvas,.dipole.c,1,0,1,1,7,1,1,0,true
canvas,.graph.c,1,0,1,1,5,1,1,0,true
canvas,.h3.c,1,0,1,1,7,1,1,0,true
canvas,.h3.c2,1,0,1,1,7,1,1,0,true
canvas,.h3.c3,1,0,1,1,7,1,1,0,true
canvas,.invisibleCanvas,1,0,1,1,1,1,1,0,true
canvas,.rchart.c,1,0,1,1,7,1,1,0,true
canvas,.t.c2,1,0,1,1,7,1,1,0,true
canvas,.t.c3,1,0,1,1,7,1,1,0,true
canvas,.t.c4,1,0,1,1,7,1,1,0,true
canvas,.t.f.c,1,0,1,1,9,1,1,0,true
canvas,.t2.c,1,0,1,1,7,1,1,0,true
canvas,.t2.c2,1,0,1,1,7,1,1,0,true
chan,create,1,1,0,1,3,1,1,0,true
chan,push,1,0,1,1,3,1,0,1,true
consoleinterp,record,1,1,0,1,2,1,0,1,true
counter::get,,1,1,0,1,2,1,0,1,true
counter::init,,1,0,1,1,1,1,0,1,true
counter::reset,,1,0,1,1,1,1,0,1,true
crc::crc32,,1,1,0,1,3,1,0,1,true
cron::in,,1,0,1,1,2,1,1,0,true
debug,==CALLING exifSubIFD==,1,0,1,1,1,1,1,0,true
debug,EOI,1,0,1,1,1,1,1,0,true
debug,Intel byte alignment,1,0,1,1,1,1,1,0,true
debug,Motorola byte alignment,1,0,1,1,1,1,1,0,true
debug,Reading EXIF data,1,0,1,1,1,1,1,0,true
debug,SOI,1,0,1,1,1,1,1,0,true
dns::address,,1,1,0,1,1,1,0,1,true
dns::configure,,1,0,1,1,2,1,0,1,true
dns::errorcode,,1,1,0,1,1,1,0,1,true
dns::nameservers,,1,1,0,1,0,1,1,0,true
dns::status,,1,1,0,1,1,1,0,1,true
dns::wait,,1,0,1,1,1,1,0,1,true
encoding,names,1,1,0,1,1,1,1,0,true
entry,.___e,1,1,0,1,1,1,1,0,true
entry,.compose.logmessage,1,0,1,1,3,1,1,0,true
entry,.cp.grd.e1,1,0,1,1,5,1,1,0,true
entry,.cp.grd.e2,1,0,1,1,5,1,1,0,true
entry,.cp.grd.e3,1,0,1,1,5,1,1,0,true
entry,.cp.grd.e4,1,0,1,1,5,1,1,0,true
entry,.dlg.e,1,0,1,1,5,1,1,0,true
entry,.e1,1,0,1,1,3,1,1,0,true
entry,.e2,1,0,1,1,3,1,1,0,true
entry,.e3,1,0,1,1,3,1,1,0,true
entry,.extras.elat,1,0,1,1,7,1,1,0,true
entry,.extras.elon,1,0,1,1,7,1,1,0,true
entry,.f.e1,1,0,1,1,3,1,1,0,true
entry,.f.e2,1,0,1,1,3,1,1,0,true
entry,.focus.e,1,0,1,1,1,1,1,0,true
entry,.installPath,1,0,1,1,3,1,1,0,true
entry,.op.f.f1.directory.e,1,0,1,1,3,1,1,0,true
entry,.op.f.f1.password.e,1,0,1,1,5,1,1,0,true
entry,.op.f.f1.port.e,1,0,1,1,3,1,1,0,true
entry,.op.f.f1.server.e,1,0,1,1,3,1,1,0,true
entry,.op.f.f1.username.e,1,0,1,1,3,1,1,0,true
entry,.op.f.f2.loops.e,1,0,1,1,5,1,1,0,true
entry,.srchtext,1,0,1,1,3,1,1,0,true
entry,.t.e,1,0,1,1,1,1,1,0,true
eof,,1,1,0,1,1,1,0,1,true
event,info,1,1,0,1,1,1,1,0,true
file,<dynamic>,1,1,0,1,2,1,0,1,true
fileutil::fullnormalize,,1,1,0,1,1,1,0,1,true
font,,1,1,0,1,0,1,1,0,true
ftp::MkDir,,1,0,1,1,2,1,0,1,true
ftp::Open,,1,1,0,1,5,1,0,1,true
generator,to,1,1,0,1,3,1,0,1,true
gpx::Cleanup,,1,0,1,1,1,1,0,1,true
gpx::Create,,1,1,0,1,2,1,0,1,true
grammar::me::tcl::icl_get,,1,1,0,1,0,1,1,0,true
grammar::me::tcl::ier_get,,1,1,0,1,0,1,1,0,true
grid,.botleft,1,0,1,1,6,1,1,0,true
grid,.c1,1,0,1,1,1,1,1,0,true
grid,.c2,1,0,1,1,1,1,1,0,true
grid,.c3,1,0,1,1,1,1,1,0,true
grid,.clr,1,0,1,1,7,1,1,0,true
grid,.code,1,0,1,1,4,1,1,0,true
grid,.compose,1,0,1,1,3,1,1,0,true
grid,.compose.levels,1,0,1,1,3,1,1,0,true
grid,.compose.logmessage,1,0,1,1,3,1,1,0,true
grid,.cp.grd.b1,1,0,1,1,8,1,1,0,true
grid,.cp.grd.b2,1,0,1,1,8,1,1,0,true
grid,.cp.grd.b3,1,0,1,1,8,1,1,0,true
grid,.cp.grd.b4,1,0,1,1,8,1,1,0,true
grid,.cp.grd.l1,1,0,1,1,9,1,1,0,true
grid,.cp.p:l,1,0,1,1,7,1,1,0,true
grid,.dist,1,0,1,1,7,1,1,0,true
grid,.dlg.b,1,0,1,1,8,1,1,0,true
grid,.dlg.e,1,0,1,1,4,1,1,0,true
grid,.dlg.l,1,0,1,1,4,1,1,0,true
grid,.dlg.ok,1,0,1,1,4,1,1,0,true
grid,.dlg.txt,1,0,1,1,4,1,1,0,true
grid,.em.fr.cb,1,0,1,1,7,1,1,0,true
grid,.em.fr.win,1,0,1,1,5,1,1,0,true
grid,.exit,1,0,1,1,7,1,1,0,true
grid,.extras.lambda_0,1,0,1,1,4,1,1,0,true
grid,.extras.llat,1,0,1,1,4,1,1,0,true
grid,.extras.llon,1,0,1,1,4,1,1,0,true
grid,.extras.phi_0,1,0,1,1,4,1,1,0,true
grid,.extras.phi_1,1,0,1,1,4,1,1,0,true
grid,.extras.phi_2,1,0,1,1,4,1,1,0,true
grid,.f.tbl0,1,0,1,1,8,1,0,1,true
grid,.f.tbl2,1,0,1,1,8,1,0,1,true
grid,.f.tbl4,1,0,1,1,8,1,0,1,true
grid,.f.tbl6,1,0,1,1,8,1,0,1,true
grid,.goto,1,0,1,1,7,1,1,0,true
grid,.graph.c,1,0,1,1,2,1,1,0,true
grid,.graph.ok,1,0,1,1,2,1,1,0,true
grid,.help.licence.t,1,0,1,1,4,1,1,0,true
grid,.ld,1,0,1,1,7,1,1,0,true
grid,.loc,1,0,1,1,7,1,1,0,true
grid,.log,1,0,1,1,3,1,1,0,true
grid,.log.buttons,1,0,1,1,5,1,1,0,true
grid,.log.buttons.elide,1,0,1,1,3,1,1,0,true
grid,.log.buttons.elide.toggletime,1,0,1,1,2,1,1,0,true
grid,.log.buttons.elidelevels,1,0,1,1,3,1,1,0,true
grid,.log.text,1,0,1,1,4,1,1,0,true
grid,.m.areas,1,0,1,1,7,1,1,0,true
grid,.m.boxes,1,0,1,1,7,1,1,0,true
grid,.m.point,1,0,1,1,7,1,1,0,true
grid,.m.points,1,0,1,1,7,1,1,0,true
grid,.m.tracks,1,0,1,1,7,1,1,0,true
grid,.mod.left,1,0,1,1,7,1,1,0,true
grid,.mod.right,1,0,1,1,7,1,1,0,true
grid,.mod.right.details,1,0,1,1,11,1,1,0,true
grid,.next,1,0,1,1,2,1,1,0,true
grid,.sl,1,0,1,1,9,1,1,0,true
grid,.srch,1,0,1,1,7,1,1,0,true
grid,.srchtext,1,0,1,1,9,1,1,0,true
grid,.sv,1,0,1,1,7,1,1,0,true
grid,.sx,1,0,1,1,3,1,1,0,true
grid,.t,1,0,1,1,5,1,1,0,true
grid,.topleft,1,0,1,1,4,1,1,0,true
grid,.tv,1,0,1,1,4,1,1,0,true
grid,.x,1,0,1,1,5,1,1,0,true
grid,.y,1,0,1,1,3,1,1,0,true
grid,column,1,0,1,1,5,1,0,1,true
grid,row,1,0,1,1,5,1,0,1,true
hook,configure,1,0,1,1,5,1,1,0,true
hook,forget,1,0,1,1,2,1,0,1,true
htmlparse::parse,,1,0,1,1,3,1,0,1,true
image,inuse,1,1,0,1,2,1,0,1,true
imap4::cleanup,,1,0,1,1,1,1,0,1,true
imap4::debugmode,,1,0,1,1,1,1,0,1,true
imap4::fetch,,1,1,0,1,4,1,0,1,true
imap4::login,,1,0,1,1,3,1,0,1,true
imap4::msginfo,,1,1,0,1,2,1,0,1,true
imap4::open,,1,1,0,1,1,1,0,1,true
imap4::select,,1,0,1,1,2,1,0,1,true
info,cmdcount,1,1,0,1,1,1,1,0,true
info,exist,1,1,0,1,2,1,0,1,true
info,globals,1,1,0,1,2,1,0,1,true
info,nameofexec,1,1,0,1,1,1,1,0,true
info,sharedlibextension,1,1,0,1,1,1,1,0,true
interp,hide,1,0,1,1,3,1,0,1,true
interp,slaves,1,1,0,1,2,1,0,1,true
interp,transfer,1,0,1,1,4,1,0,1,true
ip::mask,,1,1,0,1,1,1,0,1,true
ip::toHex,,1,1,0,1,1,1,0,1,true
link,,1,0,1,1,2,1,0,1,true
listbox,.listauto,1,0,1,1,3,1,0,1,true
listbox,.lm,1,0,1,1,7,1,1,0,true
listbox,.projs,1,0,1,1,7,1,0,1,true
listbox,.view.local.list,1,0,1,1,21,1,1,0,true
listbox,.view.remote.list,1,0,1,1,21,1,1,0,true
log::lvCmdForall,,1,0,1,1,1,1,1,0,true
logger::setlevel,,1,0,1,1,1,1,1,0,true
map::slippy::cache,,1,1,0,1,3,1,0,1,true
map::slippy::fetcher,,1,1,0,1,3,1,1,0,true
math::bignum::add,,1,1,0,1,2,1,0,1,true
math::bignum::setbit,,1,0,1,1,2,1,0,1,true
math::bignum::sub,,1,1,0,1,2,1,0,1,true
math::constants::constants,,1,0,1,1,3,1,1,0,true
md4::md4,,1,1,0,1,1,1,0,1,true
menu,.em.emPopupMenu,1,0,1,1,1,1,1,0,true
menu,.m2,1,0,1,1,3,1,1,0,true
menu,.me.menu,1,1,0,1,3,1,1,0,true
menu,.menu.help,1,0,1,1,3,1,1,0,true
menu,.menu.options,1,0,1,1,3,1,1,0,true
menu,.menu.view,1,0,1,1,3,1,1,0,true
menu,.menubar.edit,1,0,1,1,3,1,1,0,true
menu,.menubar.file,1,0,1,1,3,1,1,0,true
menu,.menubar.window,1,1,0,1,1,1,1,0,true
mime::getbody,,1,1,0,1,1,1,0,1,true
mime::parsedatetime,,1,1,0,1,2,1,1,0,true
mime::uniqueID,,1,1,0,1,0,1,1,0,true
my,Name2Node,1,1,0,1,2,1,0,1,true
my,Pstream,1,0,1,1,5,1,0,1,true
my,c_function,1,0,1,1,3,1,1,0,true
my,cmethod,1,0,1,1,3,1,1,0,true
my,exists,1,1,0,1,2,1,0,1,true
my,nodes,1,1,0,1,1,1,1,0,true
my,tcltype,1,0,1,1,3,1,1,0,true
nameserv::configure,,1,1,0,1,0,1,1,0,true
nameserv::protocol,,1,1,0,1,0,1,1,0,true
nameserv::release,,1,0,1,1,0,1,1,0,true
nameserv::server_features,,1,1,0,1,0,1,1,0,true
nameserv::server_protocol,,1,1,0,1,0,1,1,0,true
namespace,exists,1,0,1,1,2,1,0,1,true
namespace,unknown,1,0,1,1,1,1,1,0,true
ncgi::encode,,1,1,0,1,1,1,0,1,true
ncgi::header,,1,0,1,1,3,1,0,1,true
ncgi::nvlist,,1,1,0,1,0,1,1,0,true
ncgi::reset,,1,0,1,1,1,1,0,1,true
ncgi::setDefaultValueList,,1,0,1,1,2,1,0,1,true
next,,1,1,0,1,1,1,0,1,true
oo::copy,,1,1,0,1,1,1,0,1,true
option,-allow-duplicates,1,0,1,1,7,1,1,0,true
option,-alpha,1,0,1,1,5,1,1,0,true
option,-api,1,0,1,1,2,1,1,0,true
option,-arrowcolor,1,0,1,1,5,1,1,0,true
option,-arrowthickness,1,0,1,1,5,1,1,0,true
option,-attrsonly,1,0,1,1,3,1,1,0,true
option,-auto,1,0,1,1,7,1,0,1,true
option,-automap,1,0,1,1,2,1,0,1,true
option,-axiscolor,1,0,1,1,2,1,1,0,true
option,-axisfont,1,0,1,1,5,1,1,0,true
option,-axisformat,1,0,1,1,5,1,1,0,true
option,-axisstyle,1,0,1,1,3,1,1,0,true
option,-bandcolors,1,0,1,1,2,1,0,1,true
option,-barwidth,1,0,1,1,7,1,1,0,true
option,-baseurl,1,0,1,1,2,1,1,0,true
option,-bg,1,0,1,1,5,1,1,0,true
option,-bindwheel,1,0,1,1,5,1,1,0,true
option,-blocksize,1,0,1,1,5,1,1,0,true
option,-browse,1,0,1,1,5,1,1,0,true
option,-canvas,1,0,1,1,2,1,1,0,true
option,-center-mark,1,0,1,1,5,1,1,0,true
option,-check,1,0,1,1,2,1,1,0,true
option,-circle-config,1,0,1,1,3,1,1,0,true
option,-cmdip,1,0,1,1,2,1,1,0,true
option,-cmds,1,0,1,1,2,1,1,0,true
option,-columns,1,0,1,1,2,1,1,0,true
option,-dangercolor,1,0,1,1,3,1,1,0,true
option,-dangerlevel,1,0,1,1,3,1,1,0,true
option,-dangerwidth,1,0,1,1,3,1,1,0,true
option,-derefaliases,1,0,1,1,3,1,1,0,true
option,-directory,1,0,1,1,2,1,1,0,true
option,-drawaxle,1,0,1,1,2,1,1,0,true
option,-editdefault,1,0,1,1,2,1,1,0,true
option,-editendcmd,1,0,1,1,2,1,1,0,true
option,-edittypes,1,0,1,1,2,1,0,1,true
option,-enablecmdonkey,1,0,1,1,3,1,1,0,true
option,-encoding,1,0,1,1,3,1,1,0,true
option,-eofchar,1,0,1,1,3,1,1,0,true
option,-error,1,0,1,1,2,1,1,0,true
option,-errorcmd,1,0,1,1,5,1,1,0,true
option,-fast,1,0,1,1,3,1,1,0,true
option,-fg,1,0,1,1,5,1,1,0,true
option,-filecallback,1,0,1,1,2,1,1,0,true
option,-fileimage,1,0,1,1,2,1,1,0,true
option,-filepattern,1,0,1,1,2,1,1,0,true
option,-filetypes,1,0,1,1,2,1,1,0,true
option,-filter,1,0,1,1,5,1,1,0,true
option,-firstday,1,0,1,1,7,1,0,1,true
option,-focus,1,0,1,1,3,1,1,0,true
option,-foldall,1,0,1,1,2,1,1,0,true
option,-foldend,1,0,1,1,2,1,1,0,true
option,-foldkey,1,0,1,1,2,1,1,0,true
option,-foldstart,1,0,1,1,2,1,1,0,true
option,-framed,1,0,1,1,5,1,1,0,true
option,-from,1,0,1,1,5,1,1,0,true
option,-full-async-results,1,0,1,1,5,1,1,0,true
option,-glob,1,0,1,1,3,1,1,0,true
option,-grid,1,0,1,1,7,1,0,1,true
option,-grid-cell-command,1,0,1,1,5,1,1,0,true
option,-grid-cell-height,1,0,1,1,7,1,1,0,true
option,-grid-cell-width,1,0,1,1,7,1,1,0,true
option,-grid-show-borders,1,0,1,1,5,1,1,0,true
option,-highlight-cmd,1,0,1,1,5,1,1,0,true
